"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021- 12- 14","4,637.00","4,672.00","4,686.00","4,606.00","1.21M","-0.68%"
"2021- 12- 13","4,668.75","4,711.25","4,731.00","4,664.75","1.61M","-0.90%"
"2021- 12- 10","4,711.00","4,669.25","4,712.75","4,664.25","1.59M","0.94%"
"2021- 12- 09","4,667.00","4,697.25","4,706.00","4,662.25","1.59M","-0.68%"
"2021- 12- 08","4,699.00","4,695.25","4,712.00","4,671.75","1.42M","0.30%"
"2021- 12- 07","4,685.00","4,594.25","4,697.25","4,587.25","1.77M","2.07%"
"2021- 12- 06","4,590.00","4,542.25","4,611.75","4,531.50","2.03M","1.25%"
"2021- 12- 04","4,533.25","4,533.25","4,533.25","4,533.25","","-0.09%"
"2021- 12- 03","4,537.50","4,587.25","4,606.50","4,492.00","2.75M","-0.84%"
"2021- 12- 02","4,575.75","4,514.75","4,593.75","4,505.50","2.59M","1.49%"
"2021- 12- 01","4,508.50","4,587.50","4,650.75","4,497.75","2.67M","-1.26%"
"2021- 11- 30","4,566.25","4,657.25","4,667.50","4,557.00","2.85M","-1.82%"
"2021- 11- 29","4,651.00","4,589.00","4,669.75","4,588.75","2.01M","1.20%"
"2021- 11- 26","4,595.75","4,700.50","4,717.00","4,577.25","2.07M","-1.96%"
"2021- 11- 25","4,687.75","4,699.00","4,699.50","4,686.00","122.44K","-0.24%"
"2021- 11- 24","4,699.00","4,686.25","4,702.25","4,656.25","1.41M","0.22%"
"2021- 11- 23","4,688.50","4,686.00","4,695.50","4,649.00","1.87M","0.19%"
"2021- 11- 22","4,679.75","4,701.00","4,740.50","4,674.25","1.69M","-0.31%"
"2021- 11- 19","4,694.50","4,705.25","4,723.50","4,684.25","1.34M","-0.15%"
"2021- 11- 18","4,701.50","4,685.25","4,706.50","4,668.00","1.17M","0.33%"
"2021- 11- 17","4,686.25","4,696.50","4,701.00","4,679.25","1.06M","-0.21%"
"2021- 11- 16","4,696.00","4,680.75","4,709.75","4,670.75","1.04M","0.36%"
"2021- 11- 15","4,679.00","4,684.75","4,697.50","4,667.00","1.05M","0.02%"
"2021- 11- 12","4,678.25","4,647.00","4,685.50","4,643.75","1.16M","0.76%"
"2021- 11- 11","4,643.00","4,645.00","4,661.50","4,638.00","936.86K","0.02%"
