"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2010- 11- 09","1,211.00","1,219.25","1,224.75","1,206.25","2.32M","-0.74%"
"2010- 11- 08","1,220.00","1,220.50","1,222.25","1,214.75","1.54M","-0.16%"
"2010- 11- 05","1,222.00","1,218.25","1,224.50","1,212.50","2.10M","0.29%"
"2010- 11- 04","1,218.50","1,197.50","1,218.75","1,195.25","2.30M","1.77%"
"2010- 11- 03","1,197.25","1,192.75","1,198.00","1,179.50","2.36M","0.38%"
"2010- 11- 02","1,192.75","1,182.75","1,193.50","1,180.75","1.57M","0.82%"
"2010- 11- 01","1,183.00","1,180.50","1,192.75","1,173.75","2.03M","0.28%"
"2010- 10- 29","1,179.75","1,179.25","1,182.50","1,172.00","1.75M","0.04%"
"2010- 10- 28","1,179.25","1,178.50","1,187.50","1,173.50","2.01M","0.04%"
"2010- 10- 27","1,178.75","1,183.25","1,186.25","1,167.75","2.25M","-0.34%"
"2010- 10- 26","1,182.75","1,182.00","1,184.25","1,174.00","1.74M","0.00%"
"2010- 10- 25","1,182.75","1,180.75","1,193.00","1,180.50","1.75M","0.17%"
"2010- 10- 22","1,180.75","1,175.25","1,181.50","1,173.25","1.20M","0.43%"
"2010- 10- 21","1,175.75","1,174.75","1,186.25","1,167.25","2.41M","0.09%"
"2010- 10- 20","1,174.70","1,164.00","1,180.00","1,160.50","2.29M","0.94%"
"2010- 10- 19","1,163.75","1,178.75","1,179.50","1,155.50","3.07M","-1.23%"
"2010- 10- 18","1,178.25","1,174.25","1,182.25","1,164.75","1.47M","0.28%"
"2010- 10- 15","1,175.00","1,174.00","1,180.00","1,163.00","2.64M","0.13%"
"2010- 10- 14","1,173.50","1,174.75","1,180.75","1,162.50","2.40M","-0.06%"
"2010- 10- 13","1,174.25","1,165.25","1,181.00","1,164.25","2.16M","0.84%"
"2010- 10- 12","1,164.50","1,162.50","1,169.00","1,151.75","1.94M","0.19%"
"2010- 10- 11","1,162.25","1,161.50","1,165.00","1,157.75","1.01M","0.15%"
"2010- 10- 08","1,160.50","1,156.50","1,164.00","1,145.50","1.97M","0.35%"
"2010- 10- 07","1,156.50","1,155.75","1,163.75","1,147.25","1.99M","0.06%"
"2010- 10- 06","1,155.75","1,155.00","1,160.00","1,151.00","1.72M","0.09%"
"2010- 10- 05","1,154.75","1,134.75","1,158.75","1,132.75","2.20M","1.76%"
"2010- 10- 04","1,134.75","1,143.25","1,144.00","1,127.00","1.85M","-0.66%"
"2010- 10- 01","1,142.25","1,135.75","1,146.50","1,134.50","2.07M","0.48%"
"2010- 09- 30","1,136.75","1,141.00","1,153.50","1,131.25","2.83M","-0.37%"
"2010- 09- 29","1,141.00","1,141.75","1,146.75","1,135.50","1.86M","-0.07%"
"2010- 09- 28","1,141.75","1,137.75","1,146.00","1,127.25","2.31M","0.35%"
"2010- 09- 27","1,137.75","1,144.00","1,149.75","1,137.00","1.34M","-0.48%"
"2010- 09- 24","1,143.25","1,120.50","1,144.50","1,118.50","1.85M","2.03%"
"2010- 09- 23","1,120.50","1,130.00","1,134.50","1,117.25","2.19M","-0.82%"
"2010- 09- 22","1,129.75","1,135.00","1,140.25","1,126.50","1.96M","-0.44%"
"2010- 09- 21","1,134.75","1,136.50","1,144.00","1,130.25","2.10M","-0.15%"
"2010- 09- 20","1,136.50","1,118.50","1,140.25","1,117.00","1.79M","0.47%"
"2010- 09- 17","1,131.15","1,128.00","1,137.75","1,127.75","76.93K","0.30%"
"2010- 09- 16","1,127.75","1,126.25","1,129.00","1,118.00","375.12K","0.18%"
"2010- 09- 15","1,125.75","1,120.75","1,126.50","1,114.00","540.33K","0.45%"
"2010- 09- 14","1,120.75","1,120.75","1,127.50","1,115.00","652.41K","-0.04%"
"2010- 09- 13","1,121.25","1,112.50","1,124.00","1,112.00","891.53K","1.04%"
"2010- 09- 10","1,109.75","1,103.00","1,110.50","1,100.50","892.73K","0.66%"
"2010- 09- 09","1,102.50","1,099.25","1,112.00","1,096.75","1.61M","0.30%"
"2010- 09- 08","1,099.25","1,091.50","1,103.00","1,086.25","2.00M","0.73%"
"2010- 09- 07","1,091.25","1,103.75","1,107.25","1,089.75","1.75M","-1.11%"
"2010- 09- 03","1,103.50","1,089.75","1,104.50","1,086.25","2.02M","1.28%"
"2010- 09- 02","1,089.50","1,081.50","1,090.50","1,076.50","1.60M","0.72%"
"2010- 09- 01","1,081.75","1,051.75","1,082.50","1,050.75","2.36M","3.20%"
"2010- 08- 31","1,048.25","1,045.00","1,054.25","1,037.50","2.52M","0.31%"
"2010- 08- 30","1,045.00","1,064.50","1,072.75","1,044.50","1.51M","-1.76%"
"2010- 08- 27","1,063.75","1,043.75","1,064.50","1,037.25","2.54M","1.82%"
"2010- 08- 26","1,044.75","1,055.25","1,061.75","1,043.00","1.99M","-0.92%"
"2010- 08- 25","1,054.50","1,050.00","1,057.75","1,037.00","2.48M","0.45%"
"2010- 08- 24","1,049.75","1,065.50","1,065.75","1,044.00","2.47M","-1.48%"
"2010- 08- 23","1,065.50","1,070.00","1,080.25","1,064.25","1.57M","-0.44%"
"2010- 08- 20","1,070.25","1,070.75","1,076.00","1,061.75","1.81M","-0.09%"
"2010- 08- 19","1,071.25","1,087.00","1,095.00","1,068.50","2.43M","-1.43%"
"2010- 08- 18","1,086.75","1,089.00","1,098.50","1,083.75","1.81M","-0.21%"
"2010- 08- 17","1,089.00","1,077.25","1,098.50","1,074.50","1.78M","1.11%"
"2010- 08- 16","1,077.00","1,077.50","1,081.50","1,066.25","1.61M","0.09%"
"2010- 08- 13","1,076.00","1,079.50","1,089.00","1,072.50","1.48M","-0.30%"
"2010- 08- 12","1,079.25","1,085.00","1,087.50","1,070.50","2.18M","-0.53%"
"2010- 08- 11","1,085.00","1,119.25","1,119.75","1,084.50","2.64M","-3.10%"
"2010- 08- 10","1,119.75","1,125.25","1,125.75","1,108.25","2.03M","-0.51%"
"2010- 08- 09","1,125.50","1,120.00","1,126.75","1,116.50","998.91K","0.54%"
"2010- 08- 06","1,119.50","1,123.50","1,127.00","1,103.75","2.18M","-0.36%"
"2010- 08- 05","1,123.50","1,124.75","1,127.75","1,115.50","1.34M","-0.09%"
"2010- 08- 04","1,124.50","1,118.00","1,126.00","1,112.25","1.59M","0.56%"
"2010- 08- 03","1,118.25","1,121.75","1,122.75","1,113.25","1.49M","-0.31%"
"2010- 08- 02","1,121.75","1,104.50","1,124.25","1,101.75","1.61M","2.14%"
"2010- 07- 30","1,098.25","1,096.25","1,103.50","1,083.50","2.13M","0.11%"
"2010- 07- 29","1,097.00","1,102.50","1,113.00","1,088.75","2.25M","-0.45%"
"2010- 07- 28","1,102.00","1,110.50","1,115.75","1,099.25","1.64M","-0.81%"
"2010- 07- 27","1,111.00","1,109.25","1,118.75","1,106.00","1.82M","0.14%"
"2010- 07- 26","1,109.50","1,101.25","1,111.75","1,097.00","1.54M","0.82%"
"2010- 07- 23","1,100.50","1,087.25","1,101.50","1,084.00","2.09M","1.17%"
"2010- 07- 22","1,087.75","1,063.25","1,094.50","1,061.25","2.18M","2.23%"
"2010- 07- 21","1,064.00","1,079.50","1,087.75","1,061.00","2.44M","-1.48%"
"2010- 07- 20","1,080.00","1,063.25","1,080.75","1,050.75","2.28M","1.53%"
"2010- 07- 19","1,063.75","1,061.75","1,071.00","1,057.00","1.76M","0.07%"
"2010- 07- 16","1,063.00","1,090.50","1,094.75","1,059.00","2.50M","-2.52%"
"2010- 07- 15","1,090.50","1,091.25","1,099.25","1,076.25","2.42M","-0.05%"
"2010- 07- 14","1,091.00","1,095.00","1,099.00","1,083.50","1.94M","0.11%"
"2010- 07- 13","1,089.75","1,076.00","1,096.00","1,073.00","2.00M","1.23%"
"2010- 07- 12","1,076.50","1,071.50","1,077.25","1,065.50","1.38M","0.37%"
"2010- 07- 09","1,072.50","1,066.75","1,075.00","1,063.25","1.42M","0.52%"
"2010- 07- 08","1,067.00","1,058.75","1,068.50","1,054.00","2.11M","0.73%"
"2010- 07- 07","1,059.25","1,024.00","1,059.75","1,016.25","2.56M","3.42%"
"2010- 07- 06","1,024.25","1,015.00","1,038.50","1,002.75","2.43M","0.99%"
"2010- 07- 02","1,014.25","1,022.25","1,032.50","1,010.75","2.14M","-0.73%"
"2010- 07- 01","1,021.75","1,024.50","1,029.75","1,006.00","3.35M","-0.46%"
"2010- 06- 30","1,026.50","1,035.25","1,044.50","1,023.00","2.62M","-0.85%"
"2010- 06- 29","1,035.25","1,070.50","1,074.75","1,030.25","3.11M","-3.34%"
"2010- 06- 28","1,071.00","1,074.25","1,079.75","1,066.50","1.69M","-0.35%"
"2010- 06- 25","1,074.75","1,070.25","1,079.50","1,062.75","2.45M","0.40%"
"2010- 06- 24","1,070.50","1,086.50","1,091.00","1,066.50","2.55M","-1.56%"
"2010- 06- 23","1,087.50","1,090.75","1,097.75","1,080.25","2.24M","-0.28%"
"2010- 06- 22","1,090.50","1,110.50","1,117.00","1,089.50","2.29M","-1.80%"
"2010- 06- 21","1,110.50","1,116.00","1,129.50","1,103.25","2.16M","-0.74%"
"2010- 06- 18","1,118.83","1,116.00","1,119.00","1,113.00","61.15K","0.23%"
"2010- 06- 17","1,116.25","1,114.00","1,122.50","1,105.50","469.61K","0.20%"
"2010- 06- 16","1,114.00","1,113.50","1,119.00","1,104.25","589.44K","0.04%"
"2010- 06- 15","1,113.50","1,090.25","1,115.75","1,088.50","796.63K","2.11%"
"2010- 06- 14","1,090.50","1,090.50","1,106.00","1,088.75","887.31K","0.11%"
"2010- 06- 11","1,089.25","1,084.00","1,092.25","1,074.50","1.18M","0.51%"
"2010- 06- 10","1,083.75","1,055.00","1,087.75","1,052.25","2.42M","2.68%"
"2010- 06- 09","1,055.50","1,059.00","1,077.75","1,051.25","2.97M","-0.35%"
"2010- 06- 08","1,059.25","1,048.25","1,063.25","1,041.25","3.40M","1.07%"
"2010- 06- 07","1,048.00","1,064.00","1,070.75","1,047.00","2.39M","-1.69%"
"2010- 06- 04","1,066.00","1,104.00","1,107.75","1,059.25","3.21M","-3.40%"
